YYYY,DOY,HR,MN,SYMH
2018,213,10,36,2
2018,213,10,37,2
2018,213,10,38,2
2018,213,10,39,3
2018,213,10,40,3
2018,213,10,41,3
2018,213,10,42,3
2018,213,10,43,2
2018,213,10,44,2
2018,213,10,45,2
2018,213,10,46,2
2018,213,10,47,2
2018,213,10,48,2
2018,213,10,49,2
2018,213,10,50,1
2018,213,10,51,1
2018,213,10,52,1
2018,213,10,53,2
2018,213,10,54,1
2018,213,10,55,2
2018,213,10,56,2
2018,213,10,57,1
2018,213,10,58,2
2018,213,10,59,3
2018,213,11,0,2
2018,213,11,1,3
2018,213,11,2,3
2018,213,11,3,4
2018,213,11,4,4
2018,213,11,5,4
2018,213,11,6,4
2018,213,11,7,4
2018,213,11,8,4
2018,213,11,9,4
2018,213,11,10,5
2018,213,11,11,4
2018,213,11,12,4
2018,213,11,13,4
2018,213,11,14,5
2018,213,11,15,4
2018,213,11,16,4
2018,213,11,17,5
2018,213,11,18,5
2018,213,11,19,5
2018,213,11,20,5
2018,213,11,21,5
2018,213,11,22,5
2018,213,11,23,6
2018,213,11,24,6
2018,213,11,25,6
2018,213,11,26,6
2018,213,11,27,6
2018,213,11,28,7
2018,213,11,29,6
2018,213,11,30,7
2018,213,11,31,7
2018,213,11,32,7
2018,213,11,33,7
2018,213,11,34,7
2018,213,11,35,8
2018,213,11,36,7
2018,213,11,37,7
2018,213,11,38,7
2018,213,11,39,7
2018,213,11,40,7
2018,213,11,41,7
2018,213,11,42,8
2018,213,11,43,7
2018,213,11,44,7
2018,213,11,45,6
2018,213,11,46,6
2018,213,11,47,6
2018,213,11,48,6
2018,213,11,49,6
2018,213,11,50,7
2018,213,11,51,7
2018,213,11,52,7
2018,213,11,53,7
2018,213,11,54,7
2018,213,11,55,6
2018,213,11,56,6
2018,213,11,57,6
2018,213,11,58,6
2018,213,11,59,6
2018,213,12,0,5
2018,213,12,1,5
2018,213,12,2,5
2018,213,12,3,4
2018,213,12,4,4
2018,213,12,5,4
2018,213,12,6,3
2018,213,12,7,3
2018,213,12,8,2
2018,213,12,9,2
2018,213,12,10,2
2018,213,12,11,2
2018,213,12,12,2
2018,213,12,13,2
2018,213,12,14,1
2018,213,12,15,1
2018,213,12,16,1
2018,213,12,17,2
2018,213,12,18,2
2018,213,12,19,2
2018,213,12,20,2
2018,213,12,21,2
2018,213,12,22,2
2018,213,12,23,2
2018,213,12,24,2
2018,213,12,25,3
2018,213,12,26,3
2018,213,12,27,3
2018,213,12,28,3
2018,213,12,29,3
2018,213,12,30,3
